CMDLINE mypy app
MEM 26.968750 1723108963.4210
MEM 26.968750 1723108963.5302
MEM 27.109375 1723108963.6399
MEM 27.062500 1723108963.7492
MEM 27.062500 1723108963.8552
MEM 27.421875 1723108963.9644
MEM 27.421875 1723108964.0739
MEM 27.421875 1723108964.1833
MEM 27.484375 1723108964.2925
MEM 27.484375 1723108964.3992
MEM 27.484375 1723108964.5084
MEM 27.531250 1723108964.6160
MEM 27.531250 1723108964.7254
MEM 27.531250 1723108964.8347
MEM 27.531250 1723108964.9441
MEM 27.531250 1723108965.0517
MEM 27.765625 1723108965.1563
MEM 27.765625 1723108965.2646
MEM 27.765625 1723108965.3696
MEM 26.140625 1723108965.4789
MEM 26.140625 1723108965.5881
MEM 26.312500 1723108965.6975
MEM 26.312500 1723108965.8068
MEM 26.312500 1723108965.9159
MEM 26.390625 1723108966.0236
MEM 26.390625 1723108966.1292
MEM 26.390625 1723108966.2368
MEM 26.625000 1723108966.3458
MEM 26.625000 1723108966.4511
MEM 26.625000 1723108966.5605
MEM 26.750000 1723108966.6699
MEM 26.750000 1723108966.7794
MEM 26.750000 1723108966.8885
MEM 26.875000 1723108966.9939
MEM 26.875000 1723108967.1012
MEM 26.875000 1723108967.2106
MEM 26.875000 1723108967.3193
MEM 26.625000 1723108967.4277
MEM 26.703125 1723108967.5336
MEM 26.718750 1723108967.6429
MEM 26.718750 1723108967.7512
MEM 26.718750 1723108967.8603
MEM 26.796875 1723108967.9694
MEM 26.796875 1723108968.0788
MEM 26.796875 1723108968.1881
MEM 26.796875 1723108968.2973
MEM 26.796875 1723108968.4065
MEM 26.890625 1723108968.5119
MEM 26.890625 1723108968.6163
MEM 26.890625 1723108968.7224
MEM 26.890625 1723108968.8271
MEM 26.890625 1723108968.9365
MEM 26.890625 1723108969.0457
MEM 26.890625 1723108969.1508
MEM 26.890625 1723108969.2602
MEM 26.890625 1723108969.3645
MEM 26.937500 1723108969.4740
MEM 26.937500 1723108969.5833
MEM 26.937500 1723108969.6924
MEM 26.937500 1723108969.8016
MEM 26.937500 1723108969.9066
MEM 27.031250 1723108970.0110
MEM 27.031250 1723108970.1204
MEM 27.031250 1723108970.2389
MEM 27.000000 1723108970.3482
MEM 27.000000 1723108970.4575
MEM 27.000000 1723108970.5669
MEM 27.093750 1723108970.6764
MEM 27.093750 1723108970.7806
MEM 27.093750 1723108970.8898
MEM 27.359375 1723108970.9967
MEM 27.359375 1723108971.1058
MEM 27.359375 1723108971.2154
MEM 27.609375 1723108971.3245
MEM 27.609375 1723108971.4321
MEM 27.609375 1723108971.5413
MEM 27.734375 1723108971.6463
MEM 27.734375 1723108971.7502
MEM 27.734375 1723108971.8564
MEM 27.734375 1723108971.9622
MEM 27.875000 1723108972.0687
MEM 27.875000 1723108972.1780
MEM 27.875000 1723108972.2871
MEM 27.968750 1723108972.3919
MEM 27.968750 1723108972.5011
MEM 28.078125 1723108972.6101
MEM 28.078125 1723108972.7194
MEM 28.078125 1723108972.8285
MEM 28.171875 1723108972.9376
MEM 28.171875 1723108973.0434
MEM 28.171875 1723108973.1526
MEM 28.250000 1723108973.2617
MEM 28.250000 1723108973.3687
MEM 27.968750 1723108973.4780
MEM 27.968750 1723108973.5869
MEM 28.140625 1723108973.6921
MEM 28.140625 1723108973.8013
MEM 28.140625 1723108973.9103
MEM 28.281250 1723108974.0189
MEM 28.281250 1723108974.1281
MEM 28.359375 1723108974.2356
MEM 28.359375 1723108974.3449
MEM 28.359375 1723108974.4500
MEM 28.359375 1723108974.5592
MEM 28.437500 1723108974.6684
MEM 28.437500 1723108974.7731
MEM 28.437500 1723108974.8822
MEM 28.515625 1723108974.9916
MEM 28.515625 1723108975.0963
MEM 28.515625 1723108975.2049
MEM 28.640625 1723108975.3115
MEM 28.640625 1723108975.4157
MEM 28.640625 1723108975.5249
MEM 28.843750 1723108975.6341
MEM 28.843750 1723108975.7391
MEM 28.953125 1723108975.8465
MEM 28.953125 1723108975.9558
MEM 28.953125 1723108976.0643
MEM 28.953125 1723108976.1703
MEM 28.953125 1723108976.2794
MEM 28.953125 1723108976.3877
MEM 29.078125 1723108976.4968
MEM 29.078125 1723108976.6017
MEM 29.078125 1723108976.7109
MEM 29.078125 1723108976.8158
MEM 29.078125 1723108976.9210
MEM 29.078125 1723108977.0302
MEM 29.265625 1723108977.1378
MEM 29.265625 1723108977.2469
MEM 29.265625 1723108977.3517
MEM 29.625000 1723108977.4573
MEM 29.625000 1723108977.5620
MEM 29.625000 1723108977.6713
MEM 29.625000 1723108977.7798
MEM 29.625000 1723108977.8882
MEM 29.734375 1723108977.9968
MEM 29.734375 1723108978.1035
MEM 29.734375 1723108978.2130
MEM 29.734375 1723108978.3189
MEM 29.734375 1723108978.4280
MEM 29.734375 1723108978.5348
MEM 29.796875 1723108978.6447
MEM 29.671875 1723108978.7539
MEM 29.671875 1723108978.8632
MEM 29.671875 1723108978.9722
MEM 29.671875 1723108979.0815
MEM 29.671875 1723108979.1907
MEM 29.765625 1723108979.2994
MEM 29.468750 1723108979.4094
MEM 29.109375 1723108979.5188
MEM 29.203125 1723108979.6284
MEM 28.078125 1723108979.7358
MEM 28.078125 1723108979.8407
MEM 28.296875 1723108979.9499
MEM 28.296875 1723108980.0565
MEM 28.296875 1723108980.1660
MEM 28.328125 1723108980.2724
MEM 28.171875 1723108980.3805
MEM 28.171875 1723108980.4870
MEM 28.171875 1723108980.5963
MEM 28.328125 1723108980.7016
MEM 28.328125 1723108980.8109
MEM 28.328125 1723108980.9201
MEM 28.453125 1723108981.0275
MEM 28.453125 1723108981.1366
MEM 28.453125 1723108981.2458
MEM 29.578125 1723108981.3551
MEM 28.875000 1723108981.4636
MEM 28.875000 1723108981.5727
MEM 28.968750 1723108981.6793
MEM 28.968750 1723108981.7877
MEM 29.062500 1723108981.8934
MEM 29.062500 1723108982.0028
MEM 29.062500 1723108982.1115
MEM 29.187500 1723108982.2173
MEM 29.187500 1723108982.3263
MEM 29.187500 1723108982.4316
MEM 29.500000 1723108982.5394
MEM 29.500000 1723108982.6450
MEM 29.500000 1723108982.7542
MEM 29.500000 1723108982.8599
MEM 29.500000 1723108982.9682
MEM 28.625000 1723108983.0736
MEM 28.625000 1723108983.1829
MEM 28.656250 1723108983.2922
MEM 28.125000 1723108983.4014
MEM 27.593750 1723108983.5105
MEM 27.734375 1723108983.6200
MEM 27.734375 1723108983.7281
MEM 27.734375 1723108983.8373
MEM 27.859375 1723108983.9468
MEM 27.734375 1723108984.0526
MEM 27.734375 1723108984.1617
MEM 28.234375 1723108984.2711
MEM 28.203125 1723108984.3815
MEM 28.062500 1723108984.4907
MEM 34.281250 1723108984.6001
