CMDLINE mypy app --explicit-package-bases --config-file /Users/michaelali/Library/CloudStorage/OneDrive-Personal/Softwares/flowonai/flowon_ai/backend/pyproject.toml
MEM 0.187500 1723130165.4964
MEM 27.843750 1723130165.6060
MEM 31.968750 1723130165.7152
MEM 36.359375 1723130165.8244
MEM 43.468750 1723130165.9337
MEM 59.375000 1723130166.0409
MEM 66.546875 1723130166.1527
MEM 74.828125 1723130166.2625
MEM 81.359375 1723130166.3718
MEM 93.750000 1723130166.4812
MEM 99.453125 1723130166.5859
MEM 105.578125 1723130166.6987
MEM 111.656250 1723130166.8079
MEM 116.921875 1723130166.9393
MEM 122.546875 1723130167.0454
MEM 125.750000 1723130167.1547
MEM 132.609375 1723130167.2622
MEM 138.343750 1723130167.3715
MEM 144.500000 1723130167.4794
MEM 150.828125 1723130167.5887
MEM 170.390625 1723130167.6981
MEM 171.515625 1723130167.8074
MEM 180.437500 1723130167.9155
MEM 185.937500 1723130168.0247
MEM 191.062500 1723130168.1331
MEM 197.000000 1723130168.2423
MEM 204.484375 1723130168.3515
MEM 210.484375 1723130168.4608
MEM 217.265625 1723130168.5701
MEM 222.968750 1723130168.6794
MEM 227.281250 1723130168.7856
MEM 242.390625 1723130168.8949
MEM 248.109375 1723130169.0042
MEM 251.437500 1723130169.1096
MEM 251.437500 1723130169.2189
MEM 252.156250 1723130169.3283
MEM 257.437500 1723130169.4374
MEM 266.750000 1723130169.5466
MEM 272.921875 1723130169.6558
MEM 278.781250 1723130169.7650
MEM 288.968750 1723130169.8703
MEM 295.203125 1723130169.9747
MEM 306.562500 1723130170.0834
MEM 314.281250 1723130170.1927
MEM 323.000000 1723130170.2976
MEM 331.984375 1723130170.4041
MEM 333.828125 1723130170.5125
MEM 338.421875 1723130170.6217
MEM 342.265625 1723130170.7309
MEM 357.890625 1723130170.8402
MEM 358.109375 1723130170.9494
MEM 361.593750 1723130171.0586
MEM 364.609375 1723130171.1677
MEM 371.593750 1723130171.2770
MEM 374.062500 1723130171.3861
MEM 379.625000 1723130171.4952
MEM 383.765625 1723130171.6044
MEM 389.718750 1723130171.7137
MEM 397.781250 1723130171.8230
MEM 398.281250 1723130171.9278
MEM 405.625000 1723130172.0400
MEM 407.734375 1723130172.1517
MEM 406.968750 1723130172.2679
MEM 400.875000 1723130172.3731
MEM 400.593750 1723130172.4826
MEM 398.921875 1723130172.5874
MEM 399.312500 1723130172.6968
MEM 394.812500 1723130172.8018
MEM 397.750000 1723130172.9112
MEM 399.234375 1723130173.0215
MEM 398.125000 1723130173.1313
MEM 397.375000 1723130173.2387
MEM 397.921875 1723130173.3463
MEM 400.328125 1723130173.4541
MEM 398.000000 1723130173.5657
MEM 398.000000 1723130173.6751
MEM 398.000000 1723130173.7803
MEM 398.000000 1723130173.8850
MEM 398.000000 1723130173.9932
MEM 396.234375 1723130174.1026
MEM 394.109375 1723130174.2118
MEM 394.109375 1723130174.3209
MEM 394.109375 1723130174.4301
MEM 394.109375 1723130174.5360
MEM 394.109375 1723130174.6427
MEM 396.125000 1723130174.7488
MEM 397.968750 1723130174.8587
MEM 400.781250 1723130174.9634
MEM 402.093750 1723130175.0751
MEM 400.140625 1723130175.1879
MEM 402.750000 1723130175.2927
MEM 408.343750 1723130175.3987
MEM 412.875000 1723130175.5031
MEM 414.578125 1723130175.6125
MEM 417.640625 1723130175.7183
MEM 421.906250 1723130175.8240
MEM 424.843750 1723130175.9335
MEM 431.406250 1723130176.0428
MEM 435.296875 1723130176.1502
MEM 438.531250 1723130176.2554
MEM 451.640625 1723130176.3598
MEM 451.781250 1723130176.4642
MEM 454.203125 1723130176.5696
MEM 457.468750 1723130176.6779
MEM 459.328125 1723130176.7841
MEM 462.234375 1723130176.8935
MEM 464.609375 1723130177.0029
MEM 466.250000 1723130177.1120
MEM 466.390625 1723130177.2176
MEM 466.421875 1723130177.3274
MEM 464.390625 1723130177.4729
MEM 465.812500 1723130177.5825
MEM 465.921875 1723130177.6912
MEM 459.546875 1723130177.7970
MEM 460.953125 1723130177.9019
MEM 463.156250 1723130178.0066
MEM 466.968750 1723130178.1154
MEM 479.984375 1723130178.2248
MEM 481.562500 1723130178.3295
MEM 480.781250 1723130178.4390
MEM 480.781250 1723130178.5481
MEM 480.281250 1723130178.6536
MEM 480.328125 1723130178.7601
MEM 480.515625 1723130178.8695
MEM 480.843750 1723130178.9738
MEM 482.687500 1723130179.0848
MEM 471.390625 1723130179.1917
MEM 474.609375 1723130179.3009
MEM 475.343750 1723130179.4097
MEM 473.125000 1723130179.5192
MEM 454.234375 1723130179.6242
MEM 455.140625 1723130179.7336
MEM 458.609375 1723130179.8383
MEM 460.953125 1723130179.9479
MEM 461.015625 1723130180.0527
MEM 465.265625 1723130180.1593
MEM 465.187500 1723130180.2752
MEM 463.109375 1723130180.3855
MEM 446.203125 1723130180.4949
MEM 418.250000 1723130180.6010
MEM 417.609375 1723130180.7054
MEM 407.812500 1723130180.8147
MEM 409.765625 1723130180.9239
MEM 400.765625 1723130181.0301
MEM 375.718750 1723130181.1349
MEM 372.890625 1723130181.2429
MEM 384.562500 1723130181.3522
MEM 391.281250 1723130181.4593
MEM 393.875000 1723130181.5668
MEM 398.750000 1723130181.6718
MEM 400.750000 1723130181.7791
MEM 403.765625 1723130181.8884
MEM 404.984375 1723130181.9929
MEM 412.687500 1723130182.1022
MEM 428.234375 1723130182.2067
MEM 463.453125 1723130182.3168
MEM 526.328125 1723130182.4254
MEM 526.328125 1723130182.5324
MEM 526.328125 1723130182.6369
MEM 532.781250 1723130182.7420
